time_index,time_s,prob_disrupt,prob_disrupt_clamped,streak,pred_disruptive,triggered,trigger_index,trigger_time_s
0,0.0,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
1,0.0023675000000000002,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
2,0.0047350000000000005,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
3,0.007102500000000001,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
4,0.009470000000000001,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
5,0.0118375,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
6,0.014205000000000002,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
7,0.0165725,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
8,0.018940000000000002,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
9,0.021307500000000004,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
10,0.023675,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
11,0.026042500000000003,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
12,0.028410000000000005,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
13,0.030777500000000003,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
14,0.033145,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
15,0.0355125,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
16,0.037880000000000004,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
17,0.040247500000000005,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
18,0.04261500000000001,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
19,0.0449825,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
20,0.04735,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
21,0.049717500000000005,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
22,0.052085000000000006,0.2016700953245163,0.2016700953245163,0,0,0,494,1.169545
