time_index,time_s,prob_disrupt,prob_disrupt_clamped,streak,pred_disruptive,triggered,trigger_index,trigger_time_s
0,0.0,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
1,0.001,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
2,0.002,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
3,0.003,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
4,0.004,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
5,0.005,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
6,0.006,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
7,0.007,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
8,0.008,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
9,0.009000000000000001,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
10,0.01,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
11,0.011,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
12,0.012,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
13,0.013000000000000001,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
14,0.014,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
15,0.015,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
16,0.016,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
17,0.017,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
18,0.018000000000000002,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
19,0.019,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
20,0.02,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
21,0.021,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
22,0.022,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
23,0.023,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
24,0.024,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
25,0.025,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
26,0.026000000000000002,0.2016700953245163,0.2016700953245163,0,0,0,494,0.494
