Bt,ip,ne_nG,n=1 amplitude,Mir_avg_amp,Mir_avg_fre,v_loop,dx_a,dy_a,sxr_mean,xuv_ratio
2.333381,450270.3,5.666633,909.8065,0.0,0.0,0.38846502,19.6556,-7.5419455,0.24600562,1.3614297
2.3339112,450289.56,5.6705317,935.2452,0.0,0.0,0.40182787,19.657385,-7.5426836,0.24969557,1.3603765
2.3286707,450211.03,5.670917,942.3692,0.0,0.0,0.3913411,19.69965,-7.53481,0.24972455,1.369759
2.3231134,449903.34,5.668725,923.34155,0.0,0.0,0.3842103,19.704762,-7.507348,0.24931204,1.362206
2.3192935,449994.53,5.667393,898.2323,0.0,0.0,0.3962849,19.701551,-7.5271215,0.24846138,1.3584791
2.3224094,450207.75,5.66924,909.5117,0.0,0.0,0.41841596,19.70001,-7.5130997,0.24833708,1.3609045
2.3289056,450330.94,5.6730566,937.94147,0.0,0.0,0.44654632,19.747158,-7.4702263,0.2474402,1.3692714
2.329633,450228.72,5.6735477,930.37213,0.0,0.0,0.4411722,19.831455,-7.462788,0.24806456,1.3708082
2.3289356,449985.03,5.674088,918.62915,0.0,0.0,0.4349268,19.76459,-7.4720845,0.24796781,1.366044
2.3396535,450053.9,5.6730814,919.1906,0.0,0.0,0.4483465,19.729034,-7.4718256,0.24709107,1.3702176
2.337988,450002.88,5.668767,922.59607,0.0,0.0,0.45521113,19.717976,-7.504179,0.24569848,1.3664448
2.330522,450118.1,5.6676264,921.77594,0.0,0.0,0.44911063,19.803709,-7.5039954,0.24446371,1.3792367
2.333421,450446.47,5.669073,926.5781,0.0,0.0,0.45895448,19.879745,-7.499849,0.24544099,1.3836373
2.3381424,450372.1,5.670545,918.11584,0.0,0.0,0.46661377,19.844957,-7.501732,0.24296488,1.373686
2.3384378,450295.2,5.6712985,915.7365,0.0,0.0,0.46097946,19.739834,-7.503784,0.24306284,1.3784883
2.3342083,450351.62,5.6721716,944.12787,0.0,0.0,0.42900082,19.83418,-7.470662,0.24469839,1.3809719
2.3296034,450336.2,5.673267,922.2494,0.0,0.0,0.41551366,19.825811,-7.5055757,0.24527754,1.3685349
2.3206012,450261.75,5.6733394,891.4037,0.0,0.0,0.40900803,19.76762,-7.497006,0.24306644,1.3575848
2.322343,450177.1,5.6747813,937.08624,0.0,0.0,0.405525,19.773636,-7.505707,0.24357446,1.3707536
2.3293352,450182.38,5.674855,943.90027,0.0,0.0,0.4022975,19.837011,-7.540758,0.24412958,1.3797392
2.3322494,449986.9,5.6712527,929.1895,0.0,0.0,0.39755526,19.867722,-7.5126047,0.2435321,1.3797911
2.3302946,449882.28,5.667989,922.32587,0.0,0.0,0.40332162,19.769804,-7.5059056,0.24379113,1.3708434
2.3226829,450090.53,5.670302,938.9536,0.0,0.0,0.39961985,19.790165,-7.5087967,0.24229209,1.3726283
2.3204944,450292.88,5.671387,931.9117,0.0,0.0,0.40474796,19.930367,-7.4915566,0.24414097,1.3749783
2.322803,449929.56,5.670051,959.4578,0.0,0.0,0.421653,19.87601,-7.481391,0.24554896,1.3720391
2.325877,449821.16,5.6679215,931.46936,0.0,0.0,0.43712783,19.793156,-7.4842916,0.2448801,1.3694503
2.3313434,449910.5,5.6668625,917.1428,0.0,0.0,0.45214343,19.826996,-7.436017,0.24506232,1.3735007
2.3318732,450028.88,5.66741,935.777,0.0,0.0,0.45522824,19.928062,-7.442889,0.24768913,1.3660877
2.329133,449927.66,5.6683216,919.8331,0.0,0.0,0.43311688,19.924942,-7.4437313,0.24966449,1.3616511
2.3198283,449872.16,5.667588,927.9736,0.0,0.0,0.42925364,19.894903,-7.4417963,0.24919763,1.360852
2.3213139,449910.53,5.665727,911.2741,0.0,0.0,0.45942178,19.922428,-7.4181433,0.24937819,1.364202
2.3284311,449956.8,5.665794,925.9957,0.0,0.0,0.46886116,19.931295,-7.40786,0.24911164,1.3784485
2.3345995,450085.47,5.6658096,927.0402,0.0,0.0,0.47655067,19.821384,-7.3858924,0.24920508,1.3872882
2.3391438,449983.84,5.664083,925.39813,0.0,0.0,0.47271407,19.845726,-7.379853,0.24824437,1.3888019
2.3396823,449946.7,5.6595335,902.3598,0.0,0.0,0.46175197,19.854078,-7.40879,0.24757414,1.3890271
2.337927,449995.2,5.6510015,917.052,0.0,0.0,0.44812265,19.873598,-7.42993,0.2481021,1.3910139
2.334449,450059.56,5.6428113,923.9135,0.0,0.0,0.4377021,19.881193,-7.4486127,0.24491619,1.3893716
2.3238015,450288.9,5.6381783,913.6585,0.0,0.0,0.44750386,19.907633,-7.42321,0.24669454,1.3950486
2.3243046,450364.16,5.6346016,913.8894,0.0,0.0,0.4471672,19.882193,-7.3981733,0.24773945,1.4032874
2.3295815,450162.97,5.6320033,899.13104,0.0,0.0,0.4456596,19.879719,-7.3921914,0.24557775,1.3971219
2.3322866,450242.78,5.6301928,936.5321,0.0,0.0,0.4335738,20.007427,-7.370585,0.24512857,1.3729063
2.332492,450217.16,5.624977,922.2721,0.0,0.0,0.4342505,19.899466,-7.3722186,0.24438547,1.3630761
2.3257663,449983.44,5.6228414,923.52423,0.0,0.0,0.42650148,19.821291,-7.3730745,0.24498707,1.3536109
2.3222363,450327.28,5.621028,907.3986,0.0,0.0,0.42490736,19.927933,-7.338503,0.24611641,1.3412311
2.321946,450207.2,5.619424,909.46875,0.0,0.0,0.4464772,19.908047,-7.3669233,0.24589483,1.3336613
2.3248112,450095.97,5.6202326,921.0552,0.0,0.0,0.456456,19.855453,-7.333652,0.24555491,1.3300798
2.331349,450110.12,5.6182218,935.0855,0.0,0.0,0.4699664,19.909529,-7.3269305,0.24473405,1.3252528
2.3338897,449981.16,5.6145973,924.0867,0.0,0.0,0.46798727,19.942413,-7.3830514,0.24108167,1.3166476
2.3309593,450210.97,5.6140647,922.1459,0.0,0.0,0.45538568,20.016489,-7.3782425,0.24233352,1.3097199
2.3275774,450462.84,5.614867,948.7126,0.0,0.0,0.45842162,19.911848,-7.365503,0.24497809,1.3166127
2.3276215,450386.12,5.6144114,900.69214,0.0,0.0,0.45684344,19.920044,-7.3508925,0.24499759,1.3240489
2.3282967,450315.7,5.611774,927.6694,0.0,0.0,0.45576048,19.924868,-7.364254,0.24451758,1.3232864
2.3335748,450352.03,5.610986,936.4791,0.0,0.0,0.45566934,19.883915,-7.356324,0.24349791,1.3191148
2.3388581,450481.12,5.6105533,922.21783,0.0,0.0,0.46680856,19.93219,-7.3574033,0.24380383,1.3177543
2.342124,450377.84,5.6093955,929.8449,0.0,0.0,0.46664384,19.906807,-7.3618207,0.2474267,1.3184702
2.3406415,450342.03,5.60885,918.3855,0.0,0.0,0.43581542,19.91935,-7.343584,0.2514867,1.3210415
