time_index,time_s,prob_disrupt,streak,pred_disruptive,triggered,trigger_index,trigger_time_s
0,0.0,0.4709230065345764,0,0,0,-1,
1,0.001,0.45807787775993347,0,0,0,-1,
2,0.002,0.4467104375362396,0,0,0,-1,
3,0.003,0.43744227290153503,0,0,0,-1,
4,0.004,0.4304068088531494,0,0,0,-1,
5,0.005,0.4247177243232727,0,0,0,-1,
6,0.006,0.4199613034725189,0,0,0,-1,
7,0.007,0.41629838943481445,0,0,0,-1,
8,0.008,0.4131796658039093,0,0,0,-1,
9,0.009000000000000001,0.4114362895488739,0,0,0,-1,
10,0.01,0.41062530875205994,0,0,0,-1,
11,0.011,0.41050735116004944,0,0,0,-1,
12,0.012,0.4110082685947418,0,0,0,-1,
13,0.013000000000000001,0.41198843717575073,0,0,0,-1,
14,0.014,0.4129786789417267,0,0,0,-1,
15,0.015,0.4138668179512024,0,0,0,-1,
16,0.016,0.4152347147464752,0,0,0,-1,
17,0.017,0.4169296622276306,0,0,0,-1,
18,0.018000000000000002,0.4187602996826172,0,0,0,-1,
19,0.019,0.42075300216674805,0,0,0,-1,
20,0.02,0.42249342799186707,0,0,0,-1,
21,0.021,0.42348501086235046,0,0,0,-1,
22,0.022,0.42387694120407104,0,0,0,-1,
23,0.023,0.4240705072879791,0,0,0,-1,
24,0.024,0.4239722490310669,0,0,0,-1,
25,0.025,0.4232950508594513,0,0,0,-1,
26,0.026000000000000002,0.4219898581504822,0,0,0,-1,
27,0.027,0.42073264718055725,0,0,0,-1,
28,0.028,0.419161856174469,0,0,0,-1,
29,0.029,0.41744986176490784,0,0,0,-1,
30,0.03,0.41588401794433594,0,0,0,-1,
31,0.031,0.4145391285419464,0,0,0,-1,
32,0.032,0.41336044669151306,0,0,0,-1,
33,0.033,0.41229817271232605,0,0,0,-1,
34,0.034,0.4105054438114166,0,0,0,-1,
35,0.035,0.40851035714149475,0,0,0,-1,
36,0.036000000000000004,0.4065124988555908,0,0,0,-1,
37,0.037,0.40464523434638977,0,0,0,-1,
38,0.038,0.4031514525413513,0,0,0,-1,
39,0.039,0.4019656479358673,0,0,0,-1,
40,0.04,0.4006294906139374,0,0,0,-1,
41,0.041,0.39947250485420227,0,0,0,-1,
42,0.042,0.397976815700531,0,0,0,-1,
43,0.043000000000000003,0.39687997102737427,0,0,0,-1,
44,0.044,0.3963991403579712,0,0,0,-1,
45,0.045,0.3959442973136902,0,0,0,-1,
46,0.046,0.3954257667064667,0,0,0,-1,
47,0.047,0.3946811258792877,0,0,0,-1,
48,0.048,0.39375633001327515,0,0,0,-1,
49,0.049,0.39272716641426086,0,0,0,-1,
50,0.05,0.3920433819293976,0,0,0,-1,
51,0.051000000000000004,0.3916008770465851,0,0,0,-1,
52,0.052000000000000005,0.39121612906455994,0,0,0,-1,
53,0.053,0.3908030092716217,0,0,0,-1,
54,0.054,0.39018240571022034,0,0,0,-1,
55,0.055,0.38941630721092224,0,0,0,-1,
56,0.056,0.38840025663375854,0,0,0,-1,
57,0.057,0.38746243715286255,0,0,0,-1,
58,0.058,0.3867699205875397,0,0,0,-1,
59,0.059000000000000004,0.38572385907173157,0,0,0,-1,
60,0.06,0.38467514514923096,0,0,0,-1,
61,0.061,0.38382193446159363,0,0,0,-1,
62,0.062,0.3833101689815521,0,0,0,-1,
63,0.063,0.3829887807369232,0,0,0,-1,
64,0.064,0.3829314410686493,0,0,0,-1,
65,0.065,0.38324663043022156,0,0,0,-1,
66,0.066,0.3834996223449707,0,0,0,-1,
67,0.067,0.38373029232025146,0,0,0,-1,
68,0.068,0.383771151304245,0,0,0,-1,
69,0.069,0.38395607471466064,0,0,0,-1,
70,0.07,0.3844814896583557,0,0,0,-1,
71,0.07100000000000001,0.3850184381008148,0,0,0,-1,
72,0.07200000000000001,0.3856355845928192,0,0,0,-1,
73,0.073,0.38627082109451294,0,0,0,-1,
74,0.074,0.38668546080589294,0,0,0,-1,
75,0.075,0.38732239603996277,0,0,0,-1,
76,0.076,0.3881737291812897,0,0,0,-1,
77,0.077,0.38906988501548767,0,0,0,-1,
78,0.078,0.3903249502182007,0,0,0,-1,
79,0.079,0.39116644859313965,0,0,0,-1,
80,0.08,0.3918907344341278,0,0,0,-1,
81,0.081,0.39265719056129456,0,0,0,-1,
82,0.082,0.3932374119758606,0,0,0,-1,
83,0.083,0.3939245045185089,0,0,0,-1,
84,0.084,0.3946217894554138,0,0,0,-1,
85,0.085,0.3953450918197632,0,0,0,-1,
86,0.08600000000000001,0.3957687318325043,0,0,0,-1,
87,0.08700000000000001,0.39617252349853516,0,0,0,-1,
88,0.088,0.39634034037590027,0,0,0,-1,
89,0.089,0.39656734466552734,0,0,0,-1,
90,0.09,0.39697468280792236,0,0,0,-1,
91,0.091,0.39732468128204346,0,0,0,-1,
92,0.092,0.39790043234825134,0,0,0,-1,
93,0.093,0.3984964191913605,0,0,0,-1,
94,0.094,0.39893093705177307,0,0,0,-1,
95,0.095,0.39946749806404114,0,0,0,-1,
96,0.096,0.4001215696334839,0,0,0,-1,
97,0.097,0.40102049708366394,0,0,0,-1,
98,0.098,0.4023669362068176,0,0,0,-1,
99,0.099,0.4031350314617157,0,0,0,-1,
100,0.1,0.4038116931915283,0,0,0,-1,
101,0.101,0.40427377820014954,0,0,0,-1,
102,0.10200000000000001,0.4045678675174713,0,0,0,-1,
103,0.10300000000000001,0.4045945703983307,0,0,0,-1,
104,0.10400000000000001,0.4047766625881195,0,0,0,-1,
105,0.105,0.4049762785434723,0,0,0,-1,
106,0.106,0.40479668974876404,0,0,0,-1,
107,0.107,0.40432944893836975,0,0,0,-1,
108,0.108,0.40339815616607666,0,0,0,-1,
109,0.109,0.4027518928050995,0,0,0,-1,
110,0.11,0.4024360179901123,0,0,0,-1,
111,0.111,0.4020480513572693,0,0,0,-1,
112,0.112,0.4017128646373749,0,0,0,-1,
113,0.113,0.40137210488319397,0,0,0,-1,
114,0.114,0.4008146822452545,0,0,0,-1,
115,0.115,0.40034812688827515,0,0,0,-1,
116,0.116,0.4002338945865631,0,0,0,-1,
117,0.117,0.4000125229358673,0,0,0,-1,
118,0.11800000000000001,0.4001202881336212,0,0,0,-1,
119,0.11900000000000001,0.399482399225235,0,0,0,-1,
120,0.12,0.398972749710083,0,0,0,-1,
121,0.121,0.3987042307853699,0,0,0,-1,
122,0.122,0.3984520733356476,0,0,0,-1,
123,0.123,0.39830735325813293,0,0,0,-1,
124,0.124,0.39824190735816956,0,0,0,-1,
125,0.125,0.39821523427963257,0,0,0,-1,
126,0.126,0.3981263041496277,0,0,0,-1,
127,0.127,0.3980177640914917,0,0,0,-1,
128,0.128,0.39801520109176636,0,0,0,-1,
129,0.129,0.3981849253177643,0,0,0,-1,
130,0.13,0.39876624941825867,0,0,0,-1,
131,0.131,0.3989799916744232,0,0,0,-1,
132,0.132,0.3991878926753998,0,0,0,-1,
133,0.133,0.39932993054389954,0,0,0,-1,
134,0.134,0.3990932106971741,0,0,0,-1,
135,0.135,0.39890873432159424,0,0,0,-1,
136,0.136,0.3989401161670685,0,0,0,-1,
137,0.137,0.3989678919315338,0,0,0,-1,
